name,price
Python股票量化交易从入门到实践+期货量化交易实战+基于股票大数据分析的Python实战,159.60
父与子的编程之旅 与小卡特一起学Python 第3版（全彩印刷）,88.60
Python机器学习,54.50
Python 3标准库,145.90
网络爬虫进化论——从Excel爬虫到Python爬虫,79.00
Python科学计算和数据科学应用(第2版)  使用NumPy、SciPy和matplotlib,146.40
Python项目开发案例集锦（全彩版）源代码可复制+技术支持,111.40
Python数据分析与数据化运营（第2版）,111.30
Python数据分析(活用Pandas库)图灵程序设计丛书数据分析处理入门教程分析上手工具书正版书籍,56.00
自己动手写Python虚拟机,69.20
Python模块参考手册·日期与时间（全彩版）,60.10
套装3本流畅的Python 像计算机科学家一样思考第2版 Python Cookbook第3中文版,177.60
Python金融大数据风控建模实战：基于机器学习,85.40
Python金融大数据风控建模实战：基于机器学习,83.30
Python和Pygame游戏开发指南(异步图书出品),51.70
2册 Python游戏趣味编程+Python少儿趣味编程  python少儿编程入门游戏编程中小学生,105.50
开课吧python编程从入门到实战数据分析网课视频教程0基础自学程序设计IT技术在线课程,0.99
Python高性能编程(异步图书出品),58.80
Effective Python 编写高质量Python代码的90个有效方法(原,100.50
NCT全国青少年编程能力等级测试教程：Python语言编程一级,56.90
生命科学家的Python指南 （美）A.兰卡斯特等著 徐永译 生物信息学数据分析丛书,142.20
Python编程 从入门到实践 利用Python进行数据分析 Python神经网络编程机器学习,558.40
"拍拍	
【二手9成新】Python计算机视觉编程 /[美]Jan、Erik、Solem 著；朱文涛、袁勇",31.00
股票多因子模型实战：Python核心代码解析(博文视点出品),79.00
图解Python---轻松快速掌握实力派脚本语言精华,32.70
C Primer Plus 第6版 中文版(异步图书出品),108.00
Python自然语言处理实战：核心技术与算法 自然语言处理教程书籍,48.30
智能硬件与机器视觉：基于树莓派、Python和OpenCV,65.00
Python大学教程：面向计算机科学和数据科学（英文版）,145.80
全新正版 Python编程 从入门到实践 第2版 图灵出品 计算机与互联网编程 人民邮电出版社,45.00
Python图像处理实战,89.00
Python数学实验与建模,146.50
利用Python进行数据分析（原书第2版）python数据分析实战 数据挖掘分析 精通数据科学,83.30
Python机器学习基础教程(图灵出品),58.80
Python从入门到项目实践（全彩版）PyCharm详解，热门游戏、爬虫、数据分析、web和AI开发,86.90
Python Cookbook（第3版）中文版(异步图书出品),108.00
Python网络爬虫从入门到实践（全彩版）赠实物魔卡、电子书，零基础入门大数据抓取采集,85.30
零基础入门Python游戏,58.40
Python从入门到实践（全彩版）,78.20
正版 Python地理数据处理 ArcGIS地理空间数据分析教程书籍 地理信息分析入门 python,55.30
基于Python的金融分析与风险管理(异步图书出品),118.00
流畅的Python语言程序设计 python核心编程 python数据分析代码大全入门到精通教程,102.00
Python 3自动化软件发布系统 -Django 2实战,103.60
Python Web自动化测试入门与实战,70.20
计算机科学丛书：Python语言程序设计,68.20
Python袖珍指南（第5版）,26.90
Python数据科学手册/图灵程序设计丛书,50.99
Python 3程序开发指南（第2版 修订版）(异步图书出品),60.40
Python数据分析实战 第2版(图灵出品),69.20
Python渗透测试编程技术：方法与实践（第2版）（清华开发者书库.Python）,58.70
零基础学Python从入门到精通 python编程自学Python基础入门项目实践 赠视频课程 R,23.80
Python编程从入门到实践第2版,65.65
看漫画学Python 有趣 有料 好玩 好用 全彩版 python基础教程从入门到精通Python,59.80
算法入门与进阶：Python语言实现（图解+案例+视频）（套装共2册）,113.00
Python机器学习（原书第3版）,149.00
Python编程快速上手 python语言从入门到精通 零基础自学计算机程序设计全套书籍基础教程书籍,33.80
Python从小白到大牛（第2版）,92.10
Python速查手册·基础卷（Python3全彩版）基础语法、快用锦囊、应用场景、五星评级、双目录查询,128.80
零基础入门学习Python（第2版）,67.20
Python期货量化交易实战(异步图书出品),59.00
流畅的Python+利用Python进行数据分析+Python数据分析基础,322.60
Python+R语言数据可视化之美专业图表绘制指南+Excel 数据之美 科学图表与商业图表的绘制,360.00
Python机器学习 预测分析核心算法(异步图书出品),60.40
从Python新手到Django架站高手（套装共2册）,140.40
图解算法——使用Python,43.30
跟我一起玩Python编程(共2册):教孩子快速掌握编程技巧,72.50
教孩子学编程系列：教孩子学编程 Python语言版+趣学Python编程 共2本 儿童编程入门教程书,84.00
【程序员小灰】漫画算法：小灰的算法之旅(Python篇)（全彩）(博文视点出品),79.00
【新品现货】Python金融实战案例精粹 斯文博士新作 基于Python的金融 斯文 著,83.50
零基础学Python（Python3.9全彩版）（编程入门 项目实践 同步视频）,69.50
机器学习周志华西瓜书+机器学习实战python与人工智能入门深度学习中文版基础习题集介,158.70
Python项目开发实战入门（Python3全彩版）爬虫、数据分析、人工智能、Web开发……,85.30
Python编程（第4版 套装上下册）,139.90
网络爬虫进化论——从Excel爬虫到Python爬虫,79.00
Python 3网络爬虫开发实战(图灵出品),73.70
Python编程三剑客：Python编程从入门到实践第2版+python快速上手第2版+极客项目编程,129.00
Effective Python:编写高质量Python代码的90个有效方法 第2版|8078189,90.30
教孩子学编程系列：教孩子学编程 Python语言版+趣学Python编程 共2本 儿童编程入门教程书,84.00
Python算法指南：程序员经典算法分析与实现/清华开发者书库,101.20
思维导图学Python 3.7青少年趣味编程（套装2册）,73.50
Jupyter Notebook数据分析入门与实战,99.00
教孩子学编程 Python语言版 全彩印刷 少儿编程入门图书青少年Python语言基础入门,42.80
现货正版Python 3标准库/道格·赫尔曼Python标准库参考手册/程序员书库|8052829,139.30
Python算法详解(异步图书出品),69.00
C语言程序设计从入门到精通 python编程入门指南 java零基础自学教程 计算机编程语言套装,132.00
Python硬件开发树莓派从入门到实践（Python3全彩版）无人驾驶、AndroidTV、自动循迹赠基础知识视频、电子书、源码、电子魔卡,49.00
Python基础教程（第3版）(图灵出品),73.70
Python GUI设计PyQt5从入门到实践（Qt5编程入门 数据可视化 Python3全彩版）,85.30
Python语言程序设计基础（第2版）教育部大学计算机课程改革项目规划教材 ,39.00
Python模块参考手册·系统与控制（全彩版）,60.10
Python自然语言处理(异步图书出品),77.90
Python与有限元--基于Python编程的有限元分析及应用扩展,56.90
Python趣味编程：从入门到人工智能,52.10
Django实战 Python Web典型模块与项目开发,94.60
2本 看漫画学Python有趣有料好玩好用全彩版+青少年Python创意编程趣味课堂,119.30
编写整洁的Python代码,69.20
数据结构与算法：Python语言实现,76.30
Python数据可视化,73.20
包邮】机器学习实战\/图灵程序设计丛书 利用Python阐述机器学习算法人工智能书籍,34.50
数据分析从入门到进阶,58.60
Python从入门到项目实践（全彩版）PyCharm详解，热门游戏、爬虫、数据分析、web和AI开发,86.90
Python数据分析入门――从数据获取到可视化(博文视点出品),59.00
Python测试之道,52.40
光环大数据 python数据分析可视化ETL解析会公开课程视频学习资料 零基础无门槛入门数据分析课程 数据分析解析会 联系客服老师领取全部资料,3.00
Python在大气与环境科学中的应用,73.80
基于Python语言的Selenium自动化测试,59.00
Python编程语言设计全套10册：深度学习+快速入门+自然语言处理+算法教程+基础教程+网络开发,729.00
Python预测之美：数据分析与算法实战(博文视点出品),119.00
教孩子学编程：从Scratch图形化编程到Python语言编程（全彩印刷+视频讲解）（套装共3册）,173.30
DK编程真好玩：9岁开始学Python （爱心树童书）,118.00
Python数值计算与模拟 图书,47.88
Python编程从数据分析到机器学习实践（微课视频版）,73.80
Python数据分析与可视化从入门到精通 清华大学书单推荐,54.40
数据结构与算法：Python语言实现,86.00
基于Python的大数据分析基础及实战,69.80
Python数据可视化之matplotlib实践(博文视点出品),59.00
Python编程：从数据分析到数据科学,59.60
Python数据可视化之matplotlib精进(博文视点出品),69.00
Python极客项目编程,30.65
Python学习手册（原书第5版） （美）马克·卢茨（Mark Lutz） O'Reilly精品图,153.30
Python游戏编程快速上手 第4版(异步图书出品),60.40
Python高效开发实战：Django、Tornado、Flask、Twisted（第2版）(博文视点出品),99.00
漫画算法3册 小灰的算法之旅1+2 Python篇+漫画算法小灰的算法进阶 计算机编程语言设计书籍,168.00
"拍拍	
【二手85新】Python编程入门(第3三版)人民邮电(加)TobyDonaldson 零基础教材",10.92
 Python3面向对象编程 第2版 Python3.0编程语言 程序设计 Python3设计模式技,68.00
